seed,trial,n,m,rank_requested,rank_used,k_ratio,svd_topk_err,random_AB_err,rand_svd_subspace_err,leverage_col_err,random_colprune_err,params_svd_topk,params_random_AB,nnz_svd_col,topk_energy
0,173,128,64,16,16,0.25,0.7098332579353047,1.4178887228287058,0.8648186274804062,0.8400173958828295,0.8668016151582864,3088,3072,2048,0.4961367459289511
0,174,128,64,16,16,0.25,0.7041940186783086,1.4236812031613273,0.8133274489622071,0.8409693823091362,0.8653885246679539,3088,3072,2048,0.5041107840576939
0,175,128,64,16,16,0.25,0.7001949459478808,1.4205655875885408,0.8674288991556873,0.83818829835952,0.8610847979355606,3088,3072,2048,0.5097270376690444
0,176,128,64,16,16,0.25,0.7062265155971816,1.4188388403765946,0.8120346056610199,0.8391566260227253,0.8730686775693215,3088,3072,2048,0.5012441086674637
0,177,128,64,16,16,0.25,0.6950020820135319,1.4103907145780692,0.801310891605541,0.8457212472620421,0.8669393959846294,3088,3072,2048,0.5169721059968561
0,178,128,64,16,16,0.25,0.6896977966503667,1.4147906593828643,0.8845179908756138,0.8400101209690594,0.8744895065366576,3088,3072,2048,0.5243169492956298
0,179,128,64,16,16,0.25,0.6979542086907469,1.4263876320892461,0.8824834153806174,0.8443760806929586,0.8692460578073329,3088,3072,2048,0.5128599225708734
0,180,128,64,16,16,0.25,0.7016382417944027,1.4182014367516356,0.9019577305563373,0.8450934630875142,0.8671993757523723,3088,3072,2048,0.5077037776516594
0,181,128,64,16,16,0.25,0.701763876209341,1.4165762897789809,0.9130789889055971,0.8420483344650803,0.8610908966654744,3088,3072,2048,0.5075274620476407
0,182,128,64,16,16,0.25,0.7015790958600867,1.416568389164832,0.8727590194517778,0.841934470173043,0.8687559828968431,3088,3072,2048,0.5077867722521435
0,183,128,64,16,16,0.25,0.7035755939062486,1.4174817990041448,0.8632070909671984,0.8475840939777609,0.870573348122396,3088,3072,2048,0.5049813836594695
0,184,128,64,16,16,0.25,0.7014717331757124,1.3985618513100662,0.8822740744896652,0.8410085192106532,0.8654739656888443,3088,3072,2048,0.5079374075554621
0,185,128,64,16,16,0.25,0.7019882708727687,1.4116613535388567,0.8627576812460774,0.8426785647494591,0.8639234597707947,3088,3072,2048,0.50721246755706
0,186,128,64,16,16,0.25,0.7014646371570042,1.4089954904970865,0.849122062800905,0.8458174128336932,0.8663616245034638,3088,3072,2048,0.5079473628181922
0,187,128,64,16,16,0.25,0.7050358568048443,1.413080266955173,0.867076577743939,0.8457483228913528,0.8616210560064687,3088,3072,2048,0.5029244406194592
0,188,128,64,16,16,0.25,0.703828506574666,1.4124746741286316,0.857424835791191,0.8457488142862257,0.8727611151887872,3088,3072,2048,0.5046254333328755
0,189,128,64,16,16,0.25,0.7023918450631731,1.424393395980259,0.8603015884478966,0.8461050089510035,0.8634733973930624,3088,3072,2048,0.5066456959887513
0,190,128,64,16,16,0.25,0.7028302793699036,1.4242565726962801,0.8668878828828711,0.8423684581288486,0.869135118561494,3088,3072,2048,0.5060295984008234
